country,date,doing_business,gdppc
Antigua and Barbuda,2019-01-01,60.28342,
Antigua and Barbuda,2018-01-01,59.85514,23840.7298964163
Antigua and Barbuda,2017-01-01,59.79669,22400.3795618565
Antigua and Barbuda,2016-01-01,58.80632,21923.7960368902
Antigua and Barbuda,2015-01-01,59.23927,20994.7258901414
Antigua and Barbuda,2014-01-01,,20440.5405551225
Antigua and Barbuda,2013-01-01,,19918.131682288
Antigua and Barbuda,2012-01-01,,20283.8975341342
Antigua and Barbuda,2011-01-01,,19876.2153228796
Antigua and Barbuda,2010-01-01,,20555.4142048045
Antigua and Barbuda,2009-01-01,,22568.6265297858
Antigua and Barbuda,2008-01-01,,26083.1677616184
Antigua and Barbuda,2007-01-01,,26516.7409537933
Antigua and Barbuda,2006-01-01,,24657.4651453771
Antigua and Barbuda,2005-01-01,,22205.9891867516
Antigua and Barbuda,2004-01-01,,21161.1235315004
Antigua and Barbuda,2003-01-01,,20274.5382519488
Antigua and Barbuda,2002-01-01,,19361.8598546183
Antigua and Barbuda,2001-01-01,,19434.4075068745
Antigua and Barbuda,2000-01-01,,20769.0958619823
Antigua and Barbuda,1999-01-01,,19816.2914409884
Antigua and Barbuda,1998-01-01,,19486.1718917018
Antigua and Barbuda,1997-01-01,,19000.2818784894
Antigua and Barbuda,1996-01-01,,18407.7105533966
Antigua and Barbuda,1995-01-01,,17645.1737689359
Antigua and Barbuda,1994-01-01,,18851.9378219001
Antigua and Barbuda,1993-01-01,,18055.5009558661
Antigua and Barbuda,1992-01-01,,17497.3801269887
Antigua and Barbuda,1991-01-01,,17598.3784010151
Antigua and Barbuda,1990-01-01,,17454.5497991277
Antigua and Barbuda,1989-01-01,,
Antigua and Barbuda,1988-01-01,,
Antigua and Barbuda,1987-01-01,,
Antigua and Barbuda,1986-01-01,,
Antigua and Barbuda,1985-01-01,,
Antigua and Barbuda,1984-01-01,,
Antigua and Barbuda,1983-01-01,,
Antigua and Barbuda,1982-01-01,,
Antigua and Barbuda,1981-01-01,,
Antigua and Barbuda,1980-01-01,,
Antigua and Barbuda,1979-01-01,,
Antigua and Barbuda,1978-01-01,,
Antigua and Barbuda,1977-01-01,,
Antigua and Barbuda,1976-01-01,,
Antigua and Barbuda,1975-01-01,,
Antigua and Barbuda,1974-01-01,,
Antigua and Barbuda,1973-01-01,,
Antigua and Barbuda,1972-01-01,,
Antigua and Barbuda,1971-01-01,,
Antigua and Barbuda,1970-01-01,,
Antigua and Barbuda,1969-01-01,,
Antigua and Barbuda,1968-01-01,,
Antigua and Barbuda,1967-01-01,,
Antigua and Barbuda,1966-01-01,,
Antigua and Barbuda,1965-01-01,,
Antigua and Barbuda,1964-01-01,,
Antigua and Barbuda,1963-01-01,,
Antigua and Barbuda,1962-01-01,,
Antigua and Barbuda,1961-01-01,,
Antigua and Barbuda,1960-01-01,,
Australia,2019-01-01,81.21506,
Australia,2018-01-01,80.70552,45377.755143006
Australia,2017-01-01,80.76007,44781.3227596879
Australia,2016-01-01,80.22369,44488.7408277738
Australia,2015-01-01,80.38389,43970.8037036566
Australia,2014-01-01,,43651.1031328493
Australia,2013-01-01,,43212.4471035512
Australia,2012-01-01,,42854.8907793467
Australia,2011-01-01,,41965.3584189919
Australia,2010-01-01,,41529.7594995566
Australia,2009-01-01,,41326.3919298816
Australia,2008-01-01,,41385.3831705075
Australia,2007-01-01,,40733.1388010281
Australia,2006-01-01,,39470.9989595509
Australia,2005-01-01,,38968.5926095176
Australia,2004-01-01,,38260.38099525
Australia,2003-01-01,,37197.9525380117
Australia,2002-01-01,,36567.9214988415
Australia,2001-01-01,,35592.7896139099
Australia,2000-01-01,,35392.5691234561
Australia,1999-01-01,,34461.6599833889
Australia,1998-01-01,,33174.5070965308
Australia,1997-01-01,,32055.0119923067
Australia,1996-01-01,,31178.9221640888
Australia,1995-01-01,,30411.7055867052
Australia,1994-01-01,,29644.1460195852
Australia,1993-01-01,,28812.1003756597
Australia,1992-01-01,,27968.4018842421
Australia,1991-01-01,,28193.5286508523
Australia,1990-01-01,,28669.0594737612
Australia,1989-01-01,,
Australia,1988-01-01,,
Australia,1987-01-01,,
Australia,1986-01-01,,
Australia,1985-01-01,,
Australia,1984-01-01,,
Australia,1983-01-01,,
Australia,1982-01-01,,
Australia,1981-01-01,,
Australia,1980-01-01,,
Australia,1979-01-01,,
Australia,1978-01-01,,
Australia,1977-01-01,,
Australia,1976-01-01,,
Australia,1975-01-01,,
Australia,1974-01-01,,
Australia,1973-01-01,,
Australia,1972-01-01,,
Australia,1971-01-01,,
Australia,1970-01-01,,
Australia,1969-01-01,,
Australia,1968-01-01,,
Australia,1967-01-01,,
Australia,1966-01-01,,
Australia,1965-01-01,,
Australia,1964-01-01,,
Australia,1963-01-01,,
Australia,1962-01-01,,
Australia,1961-01-01,,
Australia,1960-01-01,,
Austria,2019-01-01,78.74549,
Austria,2018-01-01,78.73995,46260.3823826199
Austria,2017-01-01,78.70694,45421.4253996812
Austria,2016-01-01,78.85646,44632.7261036249
Austria,2015-01-01,78.81665,44197.5402025482
Austria,2014-01-01,,44246.8932711527
Austria,2013-01-01,,44301.1048287695
Austria,2012-01-01,,44551.6181062599
Austria,2011-01-01,,44452.7327457999
Austria,2010-01-01,,43336.1980012617
Austria,2009-01-01,,42656.8546897355
Austria,2008-01-01,,44441.7880173077
Austria,2007-01-01,,43939.4254382743
Austria,2006-01-01,,42498.0074198338
Austria,2005-01-01,,41282.879764265
Austria,2004-01-01,,40652.8110668432
Austria,2003-01-01,,39816.7738198532
Austria,2002-01-01,,39638.0275113266
Austria,2001-01-01,,39186.3358923689
Austria,2000-01-01,,38844.404487845
Austria,1999-01-01,,37666.4113349601
Austria,1998-01-01,,36443.7086340099
Austria,1997-01-01,,35222.2605371189
Austria,1996-01-01,,34539.0857422736
Austria,1995-01-01,,33791.8020278433
Austria,1994-01-01,,32964.1021593637
Austria,1993-01-01,,32314.9714107323
Austria,1992-01-01,,32411.8030013195
Austria,1991-01-01,,32098.492081453
Austria,1990-01-01,,31341.902892864
Austria,1989-01-01,,
Austria,1988-01-01,,
Austria,1987-01-01,,
Austria,1986-01-01,,
Austria,1985-01-01,,
Austria,1984-01-01,,
Austria,1983-01-01,,
Austria,1982-01-01,,
Austria,1981-01-01,,
Austria,1980-01-01,,
Austria,1979-01-01,,
Austria,1978-01-01,,
Austria,1977-01-01,,
Austria,1976-01-01,,
Austria,1975-01-01,,
Austria,1974-01-01,,
Austria,1973-01-01,,
Austria,1972-01-01,,
Austria,1971-01-01,,
Austria,1970-01-01,,
Austria,1969-01-01,,
Austria,1968-01-01,,
Austria,1967-01-01,,
Austria,1966-01-01,,
Austria,1965-01-01,,
Austria,1964-01-01,,
